<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СевСт-ао;W;20201207;000000;1150.2;1239.2;1147.8;1224.6;10809820;0
СевСт-ао;W;20201214;000000;1235;1294;1203.4;1263.6;10416965;0
СевСт-ао;W;20201221;000000;1254;1378.6;1218.6;1363.4;6281961;0
СевСт-ао;W;20201228;000000;1356.2;1392.6;1310.2;1323.2;5049174;0
СевСт-ао;W;20210104;000000;1324;1384.8;1298.6;1369.2;5574067;0
СевСт-ао;W;20210111;000000;1372;1394.4;1286.6;1344.8;8822917;0
СевСт-ао;W;20210118;000000;1352;1365.2;1304;1320.4;6621730;0
СевСт-ао;W;20210125;000000;1328;1337;1252.6;1262.8;7933469;0
СевСт-ао;W;20210201;000000;1271.6;1313;1263.8;1287;6087581;0
СевСт-ао;W;20210208;000000;1288;1306.4;1247.6;1287.2;4416471;0
СевСт-ао;W;20210215;000000;1290;1320;1271;1311.8;4948359;0
СевСт-ао;W;20210222;000000;1320;1368.2;1292.4;1343.6;7709055;0
СевСт-ао;W;20210301;000000;1350;1381;1321.6;1339;6341238;0
СевСт-ао;W;20210308;000000;1345;1414.4;1286.6;1408;6699157;0
СевСт-ао;W;20210315;000000;1398.8;1450.8;1398;1422.6;6915874;0
СевСт-ао;W;20210322;000000;1425;1429;1362.4;1426.2;6839224;0
СевСт-ао;W;20210329;000000;1422;1560;1413.2;1528.2;8951316;0
СевСт-ао;W;20210405;000000;1529.8;1558;1467.2;1537.8;6603075;0
СевСт-ао;W;20210412;000000;1534.6;1769.4;1530.8;1768.8;9030883;0
СевСт-ао;W;20210419;000000;1773;1911.2;1722;1881.2;13170679;0
СевСт-ао;W;20210426;000000;1877.4;1905;1757.6;1774;10280976;0
СевСт-ао;W;20210503;000000;1777.4;1837;1700.4;1835.6;7789605;0
СевСт-ао;W;20210510;000000;1836;1864;1751.2;1780;6254610;0
СевСт-ао;W;20210517;000000;1779.8;1824.6;1752.8;1783.4;7233889;0
СевСт-ао;W;20210524;000000;1779;1800;1731.4;1758.2;8428570;0
СевСт-ао;W;20210531;000000;1680;1705;1605.2;1646.6;8883659;0
СевСт-ао;W;20210607;000000;1645;1750.8;1628.6;1733.8;8915438;0
